,,2016 a 2018,,2019 a 2023,,,
PND2T120N0,V4026,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T121N0,V4027,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T122N0,V4028,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T123N0,V4029,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T124N0,V4032,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T125N0,V4033,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T126N0,V40331,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T127N0,V403311,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T128N0,V403312,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T129N0,V40332,2,Em produtos ou mercadorias,2,Em produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T130N0,V403321,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T131N0,V403322,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T132N0,V40333,3,Em benefícios,3,Em benefícios,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T133N0,V403331,1,"Pessoa recebendo somente em beneficios, exceto aprendizado",1,"Pessoa recebendo somente em beneficios, exceto aprendizado",VERDADEIRO,VERDADEIRO
,,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,VERDADEIRO,VERDADEIRO
,,3,Aprendiz ou estagiário recebendo somente em aprendizado,3,Aprendiz ou estagiário recebendo somente em aprendizado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T134N0,V4034,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T135N0,V40341,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T136N0,V403411,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T137N0,V403412,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T138N0,V40342,2,Em produtos ou mercadorias,2,Em produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T139N0,V403421,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T140N0,V403422,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T141N0,V4039,001 a 120,Horas,001 a 120,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T142N0,V4039C,000 a 120,Horas,000 a 120,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T143N0,V4040,1,Menos de 1 mês ,1,Menos de 1 mês ,VERDADEIRO,VERDADEIRO
,,2,De 1 mês a menos de 1 ano ,2,De 1 mês a menos de 1 ano ,VERDADEIRO,VERDADEIRO
,,3,De 1 ano a menos de 2 anos ,3,De 1 ano a menos de 2 anos ,VERDADEIRO,VERDADEIRO
,,4,2 anos ou mais ,4,2 anos ou mais ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T144N0,V40401,01 a 11,01 mês a 11 meses,01 a 11,01 mês a 11 meses,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T145N0,V40402,00 a 11,00 a 11 meses,00 a 11,00 a 11 meses,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T146N0,V40403,02 a 98,2 anos ou mais,02 a 98,2 anos ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T147N0,V4041,código,"Ver ""Classificação nacional de ocupações para pesquisas domiciliares (COD) 2010""",código,"Ver ""Classificação nacional de ocupações para pesquisas domiciliares (COD) 2010""",VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T148N0,V4043,1,Trabalhador doméstico,1,Trabalhador doméstico,VERDADEIRO,VERDADEIRO
,,2,"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar",2,"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar",VERDADEIRO,VERDADEIRO
,,3,Empregado do setor privado,3,Empregado do setor privado,VERDADEIRO,VERDADEIRO
,,4,Empregado do setor público (inclusive empresas de economia mista),4,Empregado do setor público (inclusive empresas de economia mista),VERDADEIRO,VERDADEIRO
,,5,Empregador,5,Empregador,VERDADEIRO,VERDADEIRO
,,6,Conta própria,6,Conta própria,VERDADEIRO,VERDADEIRO
,,7,Trabalhador não remunerado em ajuda a membro do domicílio ou parente,7,Trabalhador não remunerado em ajuda a membro do domicílio ou parente,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T149N0,V40431,1,Em ajuda a conta própria ou empregador ,1,Em ajuda a conta própria ou empregador ,VERDADEIRO,VERDADEIRO
,,2,Em ajuda a empregado ,2,Em ajuda a empregado ,VERDADEIRO,VERDADEIRO
,,3,Em ajuda a trabalhador doméstico,3,Em ajuda a trabalhador doméstico,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T150N0,V4044,código,"Ver ""Composição dos Grupamentos de Atividade"" e “Relação de Códigos de Atividades” da CNAE-Domiciliar ",código,"Ver ""Composição dos Grupamentos de Atividade"" e “Relação de Códigos de Atividades” da CNAE-Domiciliar ",VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T151N0,V4045,1,Federal,1,Federal,VERDADEIRO,VERDADEIRO
,,2,Estadual,2,Estadual,VERDADEIRO,VERDADEIRO
,,3,Municipal,3,Municipal,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T152N0,V4046,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T153N0,V4047,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T154N0,V4048,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T155N0,V4049,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T156N0,V4050,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T157N0,V40501,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T158N0,V405011,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T159N0,V405012,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T160N0,V40502,2,Em produtos ou mercadorias,2,Em produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T161N0,V405021,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T162N0,V405022,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T163N0,V40503,3,Em benefícios,3,Em benefícios,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T164N0,V405031,1,"Pessoa recebendo somente em beneficios, exceto aprendizado",1,"Pessoa recebendo somente em beneficios, exceto aprendizado",VERDADEIRO,VERDADEIRO
,,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,VERDADEIRO,VERDADEIRO
,,3,Aprendiz ou estagiário recebendo somente em aprendizado,3,Aprendiz ou estagiário recebendo somente em aprendizado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T165N0,V4051,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T166N0,V40511,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T167N0,V405111,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T168N0,V405112,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T169N0,V40512,2,Produtos ou mercadorias,2,Produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T170N0,V405121,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T171N0,V405122,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T172N0,V4056,001 a 120 ,Horas,001 a 120 ,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T173N0,V4056C,000 a 120,Horas,000 a 120,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T174N0,V4057,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T175N0,V4058,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T176N0,V40581,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,, ,Não ou não aplicável, ,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T177N0,V405811,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T178N0,V405812,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T179N0,V40582,2,Em produtos ou mercadorias,2,Em produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T180N0,V405821,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T181N0,V405822,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T182N0,V40583,3,Em benefícios,3,Em benefícios,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T183N0,V405831,1,"Pessoa recebendo somente em beneficios, exceto aprendizado",1,"Pessoa recebendo somente em beneficios, exceto aprendizado",VERDADEIRO,VERDADEIRO
,,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,VERDADEIRO,VERDADEIRO
,,3,Aprendiz ou estagiário recebendo somente em aprendizado,3,Aprendiz ou estagiário recebendo somente em aprendizado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T184N0,V40584,4,Não remunerado,4,Não remunerado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T185N0,V4059,1,Indica se o quesito foi respondido,1,Indica se o quesito foi respondido,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T186N0,V40591,1,Em dinheiro,1,Em dinheiro,VERDADEIRO,VERDADEIRO
,,,Não ou não aplicável,,Não ou não aplicável,VERDADEIRO,VERDADEIRO
PND2T187N0,V405911,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T188N0,V405912,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T189N0,V40592,2,Em produtos ou mercadorias,2,Em produtos ou mercadorias,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T190N0,V405921,0,0,0,0,VERDADEIRO,VERDADEIRO
,,1,"1 a [0,5SM]",1,"1 a [0,5SM]",VERDADEIRO,VERDADEIRO
,,2,"[0,5SM]+1 a [1SM]",2,"[0,5SM]+1 a [1SM]",VERDADEIRO,VERDADEIRO
,,3,[1SM]+1 a [2SM],3,[1SM]+1 a [2SM],VERDADEIRO,VERDADEIRO
,,4,[2SM]+1 a [3SM],4,[2SM]+1 a [3SM],VERDADEIRO,VERDADEIRO
,,5,[3SM]+1 a [5SM],5,[3SM]+1 a [5SM],VERDADEIRO,VERDADEIRO
,,6,[5SM]+1 a [10SM],6,[5SM]+1 a [10SM],VERDADEIRO,VERDADEIRO
,,7,[10SM]+1 a [20SM],7,[10SM]+1 a [20SM],VERDADEIRO,VERDADEIRO
,,8,[20SM]+1 ou mais,8,[20SM]+1 ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T191N0,V405922,valor em reais,R$,valor em reais,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T192N0,V4062,001 a 120,Horas,001 a 120,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T193N0,V4062C,000 a 120,Horas,000 a 120,Horas,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T194N0,V4063,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T195N0,V4063A,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T196N0,V4064,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T197N0,V4064A,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
3 - Pessoas não ocupadas,,,,,,VERDADEIRO,VERDADEIRO
PND2T198N0,V4071,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T199N0,V4072,01,"Entrou diretamente em contato com empregador (em fábrica, fazenda, mercado, loja ou outro local de trabalho)",01,"Entrou diretamente em contato com empregador (em fábrica, fazenda, mercado, loja ou outro local de trabalho)",VERDADEIRO,VERDADEIRO
,,02,Fez ou inscreveu-se em concurso,02,Fez ou inscreveu-se em concurso,VERDADEIRO,VERDADEIRO
,,03,Consultou agência privada ou sindicato ,03,Consultou agência privada ou sindicato ,VERDADEIRO,VERDADEIRO
,,04,"Consultou agência municipal, estadual ou o Sistema Nacional de Emprego (SINE) ",04,"Consultou agência municipal, estadual ou o Sistema Nacional de Emprego (SINE) ",VERDADEIRO,VERDADEIRO
,,05,Colocou ou respondeu anúncio,05,Colocou ou respondeu anúncio,VERDADEIRO,VERDADEIRO
